iter	Passed	Remaining
0	2	256
1	4	228
2	9	321
3	11	281
4	13	252
5	14	231
6	16	224
7	18	210
8	19	199
9	23	211
10	25	206
11	27	202
12	29	194
13	30	187
14	31	180
15	33	175
16	36	176
17	40	182
18	41	176
19	43	172
20	44	166
21	45	162
22	47	157
23	48	152
24	49	148
25	50	144
26	54	147
27	56	145
28	57	141
29	59	138
30	60	135
31	62	132
32	65	133
33	70	137
34	72	134
35	73	130
36	74	127
37	76	124
38	77	121
39	79	118
40	80	115
41	80	111
42	83	110
43	85	108
44	86	106
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	95
51	100	92
52	101	90
53	103	87
54	103	84
55	105	82
56	107	80
57	108	78
58	109	76
59	110	73
60	113	72
61	115	70
62	117	68
63	118	66
64	120	65
65	123	63
66	125	61
67	127	59
68	128	57
69	129	55
70	131	53
71	133	52
72	134	49
73	136	47
74	137	45
75	138	43
76	140	42
77	142	40
78	145	38
79	150	37
80	151	35
81	156	34
82	157	32
83	159	30
84	161	28
85	163	26
86	164	24
87	165	22
88	166	20
89	170	18
90	172	17
91	174	15
92	176	13
93	177	11
94	179	9
95	180	7
96	182	5
97	185	3
98	189	1
99	197	0
