iter	Passed	Remaining
0	1	1873
1	3	1717
2	4	1592
3	6	1590
4	7	1522
5	8	1460
6	9	1416
7	11	1387
8	12	1360
9	15	1559
10	17	1574
11	19	1566
12	20	1548
13	21	1547
14	23	1553
15	25	1540
16	26	1546
17	30	1668
18	32	1653
19	33	1644
20	35	1641
21	36	1636
22	38	1621
23	39	1600
24	40	1579
25	41	1559
26	44	1620
27	46	1623
28	48	1616
29	50	1630
30	52	1644
31	54	1639
32	56	1646
33	58	1673
34	60	1675
35	62	1667
36	63	1662
37	65	1653
38	66	1643
39	68	1634
40	69	1624
41	70	1615
42	72	1622
43	75	1643
44	77	1649
45	79	1648
46	81	1643
47	82	1638
48	84	1632
49	87	1657
50	89	1665
51	91	1661
52	92	1657
53	94	1650
54	95	1644
55	97	1639
56	98	1628
57	99	1617
58	101	1616
59	103	1621
60	105	1622
61	107	1619
62	108	1612
63	109	1606
64	111	1599
65	112	1592
66	113	1586
67	116	1602
68	119	1614
69	121	1612
70	122	1606
71	124	1599
72	125	1593
73	126	1585
74	127	1578
75	129	1572
76	132	1593
77	135	1597
78	136	1596
79	138	1594
80	140	1591
81	141	1588
82	142	1577
83	144	1576
84	150	1615
85	151	1611
86	153	1607
87	154	1604
88	156	1598
89	157	1590
90	158	1583
91	159	1576
92	163	1592
93	165	1590
94	166	1587
95	168	1583
96	169	1578
97	170	1572
98	172	1566
99	173	1564
100	177	1575
101	178	1572
102	180	1567
103	181	1562
104	182	1557
105	184	1552
106	185	1546
107	186	1539
108	187	1535
109	189	1529
110	190	1528
111	193	1531
112	195	1530
113	196	1527
114	197	1523
115	199	1519
116	200	1513
117	203	1519
118	204	1515
119	207	1524
120	209	1519
121	210	1512
122	211	1508
123	213	1506
124	214	1504
125	216	1499
126	217	1493
127	218	1490
128	222	1500
129	224	1500
130	225	1498
131	227	1495
132	229	1494
133	230	1490
134	232	1487
135	233	1486
136	236	1492
137	238	1488
138	239	1484
139	241	1480
140	242	1479
141	243	1473
142	245	1469
143	246	1465
144	247	1461
145	249	1456
146	252	1464
147	254	1463
148	257	1468
149	258	1467
150	260	1465
151	262	1462
152	263	1459
153	267	1467
154	268	1464
155	270	1462
156	273	1469
157	275	1465
158	276	1461
159	278	1459
160	278	1453
161	282	1462
162	285	1464
163	286	1462
164	289	1462
165	291	1462
166	292	1461
167	297	1473
168	299	1470
169	301	1473
170	303	1470
171	304	1467
172	305	1462
173	307	1458
174	308	1453
175	309	1448
176	312	1453
177	315	1455
178	316	1452
179	318	1449
180	319	1446
181	321	1443
182	322	1439
183	324	1438
184	327	1444
185	329	1441
186	330	1437
187	332	1434
188	333	1431
189	334	1426
190	335	1423
191	337	1419
192	338	1416
